prediction;test_price
27.93;28.78
28.2;28.81
28.28;28.14
28.46;28.2
28.04;28.74
27.83;29.0
28.12;28.63
28.34;28.29
28.33;28.28
28.16;28.16
28.06;27.78
28.08;27.72
27.74;27.16
27.5;27.18
27.21;26.64
27.0;26.31
26.51;26.76
26.13;26.45
26.38;26.48
26.36;26.04
26.22;26.02
26.14;25.1
25.98;24.87
25.24;24.53
24.88;24.88
24.53;25.5
24.63;25.02
24.88;25.62
24.67;25.12
25.1;25.66
24.89;26.03
25.17;26.75
25.53;26.96
26.14;26.23
26.34;27.48
26.08;27.67
26.51;28.02
26.82;27.85
27.18;27.94
27.22;28.6
27.31;28.19
27.78;28.34
27.71;28.08
27.75;28.42
27.64;28.15
27.95;28.41
27.75;28.69
27.7;28.69
27.93;28.88
27.92;28.39
28.32;28.27
28.1;28.27
27.97;27.8
28.31;27.6
27.77;27.26
27.6;26.83
27.21;26.57
26.85;27.21
26.33;27.4
26.66;27.33
26.96;26.85
26.96;26.57
26.57;27.67
26.24;27.25
27.02;27.83
26.9;27.95
27.3;27.99
27.39;27.71
27.31;27.37
27.32;27.04
26.8;27.37
26.62;27.84
26.69;27.53
26.96;27.51
26.93;27.25
27.03;27.5
26.99;27.1
26.84;26.91
26.84;27.35
26.65;26.33
26.81;26.21
26.3;26.11
26.02;26.45
26.07;26.85
26.06;27.33
26.54;27.44
27.07;27.3
27.44;27.6
27.39;27.86
27.45;28.23
27.8;28.29
27.85;28.58
27.96;28.29
28.06;29.05
28.06;29.22
28.45;29.04
28.74;29.42
28.81;30.27
29.04;30.15
29.66;29.92
29.64;30.33
29.66;29.95
29.67;30.36
29.44;30.52
29.61;30.45
29.7;30.29
29.95;29.74
29.7;29.36
29.3;29.32
28.91;28.99
28.87;29.35
28.61;29.54
28.85;29.49
29.09;29.31
29.07;29.05
28.95;28.95
28.84;29.97
28.79;30.09
29.42;28.8
29.62;28.95
28.94;29.51
28.84;29.02
29.1;29.0
29.02;29.6
28.9;29.36
29.25;28.88
29.24;28.74
28.92;28.69
28.66;27.86
28.52;28.26
27.96;28.11
28.08;28.34
27.98;27.51
28.16;27.54
27.68;27.22
27.54;27.09
27.12;26.79
27.04;26.96
26.86;26.24
26.76;26.13
26.26;25.77
25.91;25.82
25.6;25.47
25.42;25.39
25.35;25.67
25.24;26.55
25.3;27.22
25.94;26.96
26.59;26.6
26.71;26.53
26.16;27.17
26.08;27.06
26.56;27.13
26.54;26.61
26.59;26.97
26.28;27.63
26.44;26.48
26.76;26.24
26.31;26.49
26.0;27.31
26.17;27.41
26.68;26.97
26.83;27.94
26.72;28.61
27.09;28.06
27.77;27.69
27.54;28.2
27.37;28.35
27.56;27.99
27.79;27.7
27.67;27.76
27.49;27.77
27.35;28.09
27.32;27.57
27.56;27.66
27.24;27.71
27.28;28.43
27.2;28.22
27.65;28.3
27.93;28.36
27.88;27.51
27.85;27.36
27.25;28.72
26.99;28.29
27.92;28.59
27.97;28.74
28.3;29.01
28.35;28.23
28.53;28.36
28.13;28.08
27.91;29.17
27.7;30.0
28.45;28.71
29.15;28.38
28.55;27.72
28.25;28.33
27.51;28.57
27.98;25.94
28.39;26.77
26.64;26.76
26.65;26.14
26.53;25.77
26.13;24.65
25.72;23.18
24.67;22.4
23.47;20.76
22.75;20.1
21.24;23.31
20.38;22.4
22.3;20.39
22.34;21.17
21.16;21.59
21.12;23.16
21.31;22.08
22.58;20.11
22.16;20.41
20.74;19.72
20.57;18.64
19.82;20.86
18.93;20.91
20.04;22.1
20.43;22.6
21.25;21.84
21.94;22.7
21.38;21.14
22.2;19.9
21.41;20.38
19.97;19.26
20.15;19.0
19.31;17.59
18.88;18.89
17.95;18.39
18.38;17.22
18.45;18.03
17.58;17.4
17.72;16.34
17.73;18.42
17.14;19.37
17.91;19.22
18.76;19.63
18.99;19.65
19.32;17.74
19.49;18.72
18.14;19.14
18.67;19.01
18.85;19.86
18.83;21.74
19.67;20.53
20.97;20.68
20.63;20.21
20.39;20.02
19.81;20.16
19.6;21.06
19.56;20.88
20.17;20.21
20.28;19.86
19.7;19.42
19.62;19.35
19.61;19.47
19.49;19.64
19.27;19.01
19.36;19.9
18.82;20.09
19.42;21.18
19.53;20.81
20.43;21.53
20.19;20.52
20.87;20.28
20.43;19.75
20.14;19.36
19.77;18.77
19.42;18.42
19.0;18.91
18.54;19.0
18.79;17.92
18.95;18.8
18.27;18.57
18.7;18.25
18.72;18.47
18.28;18.82
18.32;19.73
18.49;18.82
19.27;18.31
19.01;17.89
18.49;18.26
18.0;16.82
18.16;16.57
17.25;17.22
16.65;17.21
17.15;16.61
17.09;16.38
16.59;16.67
16.46;16.4
16.47;15.8
16.56;15.61
15.91;15.66
15.62;15.52
15.63;15.03
15.35;15.87
15.3;15.37
15.52;14.93
15.28;14.85
15.25;14.21
15.09;14.49
14.81;15.0
15.01;14.16
14.83;14.02
14.4;13.8
14.42;14.71
13.94;14.69
14.69;15.43
14.67;15.17
15.28;15.24
15.21;15.78
15.33;16.04
15.52;15.67
15.85;15.45
15.67;16.75
15.31;16.19
16.19;16.41
16.13;16.88
16.12;16.46
16.65;15.81
16.15;16.08
15.79;16.64
15.89;17.89
16.06;17.71
17.19;17.37
17.48;16.93
17.14;17.14
16.52;17.6
16.64;17.29
16.91;16.84
16.93;17.47
16.81;18.16
17.25;18.05
17.96;17.19
17.65;17.24
17.1;17.18
17.1;17.38
17.1;17.94
16.89;17.48
17.41;17.28
17.53;18.6
17.63;19.39
18.3;19.43
18.94;20.24
19.41;20.5
19.9;22.91
20.43;22.43
22.02;22.54
22.21;21.88
22.27;21.53
21.59;20.9
21.28;20.79
20.57;20.73
20.55;21.44
20.54;21.09
20.62;20.85
21.17;20.57
20.92;20.99
20.72;21.73
20.8;21.14
21.19;21.24
21.07;21.45
21.02;22.16
21.24;22.25
21.81;22.21
22.07;22.26
22.26;22.09
22.36;22.43
22.32;22.43
22.59;22.22
22.59;22.34
22.43;22.19
22.38;21.47
22.32;20.8
21.59;20.97
21.21;21.0
20.85;20.83
21.01;20.06
20.85;20.26
20.31;20.28
20.19;20.85
20.2;20.75
20.46;20.95
20.39;20.66
20.59;20.76
20.47;20.22
20.86;20.44
20.41;19.95
20.27;19.69
20.3;19.95
20.0;19.84
19.91;20.1
19.67;20.46
19.88;21.32
20.46;21.95
20.88;21.7
21.41;22.46
21.78;22.31
22.45;22.47
22.24;23.73
22.05;23.54
23.21;23.42
23.29;23.35
23.51;22.92
23.36;23.22
22.99;22.24
23.19;22.6
22.48;22.7
22.58;22.38
22.94;22.46
22.54;23.63
22.34;23.41
22.94;22.93
23.28;23.22
23.21;23.25
23.22;22.9
23.35;22.22
23.15;22.31
22.53;22.56
22.37;22.92
22.42;23.72
22.75;23.73
23.39;23.79
23.25;23.91
23.72;23.92
23.94;23.77
23.76;23.06
23.99;22.74
23.4;22.49
22.74;22.53
22.66;22.93
22.65;23.27
22.93;23.86
23.09;25.11
23.56;25.16
24.61;24.86
24.85;25.05
24.76;25.12
25.0;25.2
25.03;25.18
24.93;24.79
25.11;25.13
24.66;24.86
25.16;24.77
24.94;24.46
24.88;25.0
24.64;24.74
24.99;24.31
24.94;24.23
24.6;24.09
24.34;24.5
24.18;24.95
24.19;24.94
24.35;25.39
24.81;25.36
25.27;25.36
25.1;25.16
25.49;25.6
25.3;25.88
25.66;26.03
25.83;26.45
25.9;25.99
26.16;25.88
25.99;26.07
25.47;25.58
25.47;25.37
25.45;24.94
25.32;24.12
24.79;24.92
24.42;24.23
24.79;24.27
24.35;24.46
24.12;24.82
24.37;25.68
24.51;25.29
25.28;25.68
25.27;25.78
25.53;25.93
25.79;25.72
25.73;26.95
25.74;27.18
26.81;27.33
27.44;27.16
27.63;26.75
27.36;26.57
27.06;26.99
26.88;26.77
26.86;27.1
26.87;26.87
27.16;26.76
27.09;27.21
26.89;27.26
27.5;26.86
27.52;27.31
27.25;27.45
27.56;27.17
27.79;27.18
27.58;28.03
27.56;28.39
28.2;28.51
28.58;28.82
28.59;29.05
28.95;28.6
29.31;28.62
29.04;29.02
28.87;28.94
29.12;29.05
29.25;28.92
29.16;28.58
29.03;29.0
28.6;28.91
29.14;28.88
29.12;28.72
29.15;28.65
29.01;28.5
29.05;28.51
29.01;28.55
28.79;28.09
28.49;27.6
28.35;28.03
27.74;27.78
28.04;27.41
27.92;27.77
27.64;27.94
27.75;27.42
27.87;26.85
27.75;26.8
27.44;26.57
27.34;26.26
26.86;26.29
26.55;26.47
26.4;26.44
26.58;26.85
26.5;27.54
26.98;26.57
27.42;26.46
26.74;26.4
26.63;26.73
26.34;26.9
26.5;27.01
26.6;26.93
26.43;27.29
26.6;27.64
26.77;27.78
27.24;27.97
27.37;27.87
27.66;27.69
27.64;28.11
27.57;28.09
27.67;27.98
27.89;28.25
27.76;28.55
27.99;28.34
27.95;29.17
27.96;29.75
28.46;29.73
28.99;29.83
29.18;29.85
29.15;30.28
29.09;30.17
29.52;30.2
29.63;30.23
29.7;30.23
29.7;30.26
29.6;30.13
29.7;30.41
29.48;30.46
29.78;30.8
30.1;31.43
30.48;31.63
30.89;31.49
31.22;31.44
31.17;31.27
31.12;31.84
30.91;31.54
31.23;31.77
30.9;31.63
31.0;31.95
31.0;32.44
31.54;32.15
31.97;32.1
32.0;32.42
31.87;32.6
32.17;32.09
32.21;32.4
32.04;32.73
32.2;32.75
32.22;32.94
32.38;32.95
32.7;33.18
32.91;32.53
33.23;32.5
32.96;33.34
32.72;33.0
33.12;33.64
32.92;32.77
33.39;31.65
32.79;30.46
31.7;29.92
30.6;31.61
30.05;32.03
31.16;31.46
31.83;31.12
31.77;30.51
31.61;30.63
30.91;30.21
30.72;29.91
30.47;28.65
30.08;29.44
29.2;29.09
29.24;28.95
29.11;29.62
28.97;30.78
29.36;29.93
30.37;29.85
29.95;31.12
29.61;31.09
30.26;30.17
30.57;29.59
30.09;29.69
29.45;29.5
29.33;30.55
29.25;30.67
29.82;30.39
30.16;31.34
30.1;31.16
30.72;31.41
30.8;31.48
30.89;31.4
31.16;30.77
31.05;30.76
30.66;30.09
30.42;29.99
30.0;29.75
29.82;28.93
29.39;28.21
28.98;28.2
28.18;28.11
28.03;28.41
28.02;29.68
28.51;29.86
29.38;30.23
29.63;30.25
29.98;30.86
29.78;30.67
30.36;30.5
30.21;29.58
30.29;29.83
29.56;29.91
29.46;29.39
29.69;30.09
29.37;30.57
29.61;30.81
29.8;30.7
29.93;30.49
29.82;30.19
29.54;30.17
29.47;30.88
29.41;30.64
29.86;31.2
29.96;31.33
30.47;31.35
30.78;31.49
30.87;31.61
30.99;30.65
31.08;30.44
30.37;30.17
30.21;30.15
29.91;30.24
29.73;30.37
29.79;29.73
30.02;29.6
29.46;29.49
29.29;28.79
29.16;28.76
28.7;28.61
28.48;29.36
28.25;28.97
28.83;29.14
28.74;30.01
28.92;30.37
29.53;31.05
29.9;30.31
30.32;30.31
29.95;30.52
29.73;30.59
29.86;30.69
29.83;30.5
29.96;30.64
29.82;30.6
29.95;30.95
30.23;31.26
30.25;30.9
30.22;30.44
30.04;29.66
29.71;30.08
29.02;29.82
29.26;29.75
29.29;29.57
29.12;29.65
28.93;29.86
29.0;29.68
29.33;30.3
29.32;30.2
29.58;30.37
29.69;30.91
29.85;30.96
30.25;30.88
30.44;31.27
30.57;31.21
30.66;31.24
30.69;31.12
30.65;30.67
30.82;31.01
30.4;31.06
30.54;31.32
30.58;31.76
30.61;32.21
31.06;32.17
31.38;32.7
31.48;32.36
31.96;32.27
31.7;32.34
31.59;32.5
31.6;33.17
31.89;33.32
32.4;33.19
32.85;33.01
32.86;33.13
32.68;32.18
32.63;33.81
31.89;33.36
32.97;33.07
32.75;33.34
32.53;33.66
32.62;33.15
32.88;33.09
32.95;32.35
32.97;33.02
32.6;32.87
32.93;32.62
32.75;32.7
32.56;33.25
32.62;33.44
32.89;33.67
33.03;33.64
33.17;33.43
33.27;33.11
33.36;33.27
33.18;33.19
33.02;33.62
32.94;33.72
33.19;33.46
33.45;33.51
33.23;33.55
33.16;33.56
33.05;33.8
32.98;34.36
33.09;34.14
33.41;33.94
33.6;33.83
33.28;34.05
33.18;33.94
33.25;33.96
33.02;34.24
33.13;35.3
33.3;36.18
34.02;35.9
34.68;35.72
34.7;35.77
34.68;35.67
34.72;35.47
34.76;35.55
34.6;35.58
34.63;35.67
34.63;35.39
34.74;35.47
34.44;35.98
34.28;36.16
34.7;36.09
35.04;35.71
35.18;35.73
35.0;35.18
34.89;35.19
34.45;36.11
34.33;36.66
34.82;36.67
35.29;36.86
35.4;37.07
35.77;37.29
35.95;39.26
36.33;39.22
37.63;39.31
38.19;39.15
38.27;39.02
37.87;39.57
37.75;39.57
38.14;39.44
38.3;38.62
38.07;38.15
37.58;38.41
37.1;38.89
37.09;39.6
37.49;38.93
38.08;39.2
38.05;39.9
38.05;39.43
38.48;38.95
38.34;39.12
38.34;39.04
38.21;38.45
38.27;38.87
38.15;38.25
38.42;37.68
38.07;36.76
37.66;36.91
36.72;37.33
36.44;37.87
36.5;37.52
37.08;38.25
37.3;38.81
37.68;38.91
38.2;38.5
38.27;38.88
38.06;39.25
38.07;39.02
38.55;38.8
38.52;38.6
38.17;38.42
37.98;38.27
37.9;38.07
37.76;37.81
37.65;37.93
37.34;37.69
37.04;37.76
36.43;37.14
36.44;37.59
36.3;37.3
36.59;37.44
36.52;38.07
36.58;38.27
37.04;37.97
37.54;38.33
37.32;38.55
37.42;38.95
37.38;39.02
37.6;39.18
37.88;39.0
38.31;38.59
38.3;38.65
37.93;38.99
37.99;39.02
38.02;39.76
38.11;37.59
38.62;37.65
37.3;37.59
36.85;37.06
36.69;37.13
36.39;37.5
36.37;37.47
36.67;37.58
36.63;37.27
36.69;37.21
36.34;37.24
36.13;37.11
36.07;37.59
36.19;37.69
36.49;36.58
36.73;36.27
35.99;35.66
35.51;35.67
35.14;35.63
34.86;35.52
34.87;35.65
34.6;34.86
34.65;34.74
34.15;34.94
33.93;34.76
34.1;34.42
34.16;34.44
33.83;34.62
33.65;35.11
33.77;34.69
34.09;34.24
34.01;34.03
33.57;34.47
33.38;34.33
33.75;34.72
33.56;35.35
33.99;35.96
34.53;36.19
35.15;35.83
35.32;35.98
35.01;36.14
35.06;35.51
34.94;35.45
34.63;35.82
34.51;35.84
34.82;35.56
34.79;35.09
34.65;35.8
34.21;35.64
34.59;36.89
34.54;36.81
35.25;36.73
35.53;36.68
35.53;35.78
35.52;35.67
34.85;34.97
34.45;34.81
34.01;33.47
33.76;33.89
32.9;32.01
33.04;31.85
31.94;29.91
31.57;31.42
30.02;28.56
30.55;29.08
29.16;29.96
28.85;30.47
29.15;30.26
29.59;30.21
29.66;29.47
29.7;28.84
29.28;28.99
28.82;29.07
28.68;29.44
28.48;28.98
28.95;29.34
28.62;30.02
28.53;30.41
28.86;30.84
29.36;30.22
29.62;29.39
29.35;28.76
28.51;29.54
28.09;28.93
28.35;28.11
28.0;28.33
27.61;28.48
27.41;29.24
27.44;29.83
28.12;29.8
28.72;29.44
28.93;29.26
28.78;28.32
28.68;26.76
28.2;27.01
27.06;27.44
26.69;28.21
26.96;27.6
27.4;27.75
27.23;27.31
27.37;26.26
27.15;27.04
26.44;28.53
26.84;29.0
27.75;28.7
28.48;29.88
28.28;29.53
29.02;30.57
28.73;30.38
29.45;31.21
29.3;30.23
30.02;30.73
29.54;30.43
29.74;30.64
29.46;31.84
29.65;32.03
